FA_name,FA_ID,FA_type,FA_subtype,FA_units_q,,,Fseston_w_r1_q,Fseston_w_r2_q,Fseston_w_r3_q,Fseston_w_r4_q,Fseston_w_mean_q,Fseston_w_sd_q,BRseston_w_r1_q,BRseston_w_r2_q,BRseston_w_r3_q,BRseston_w_r4_q,BRseston_w_mean_q,BRseston_w_sd_q,Dap_w_q,Cala_w_q,Cala_a_r1_q,Cala_a_r2_q,Cala_a_mean_q,Cala_a_sd_q,,FA_units_p,Fseston_w_r1_p,Fseston_w_r2_p,Fseston_w_r3_p,Fseston_w_r4_p,Fseston_w_mean_P,Fseston_w_sd_P,BRseston_w_r1_p,BRseston_w_r2_p,BRseston_w_r3_p,BRseston_w_r4_p,BRseston_w_mean_p,BRseston_w_sd_p,Dap_w_p,Cala_w_p,Cala_a_r1_p,Cala_a_r2_p,Cala_a_mean_p,Cala_a_sd_p
16-methylhexadecanoic,iso-17:0,BAFA,BAFA,ugFAME·mgDW-1,,,1.17,1.02,1.01,0.67,0.9675,0.211404037,2.26,1.01,1.68,1.15,1.525,0.56865338,0,1.42,1.16,1.31,1.235,0.106066017,,%,10.07,10.3,9.88,8.39,9.66,0.863905859,12.31,12.15,10.8,13.72,12.245,1.193998883,0,1.05,1.44,1.45,1.445,0.007071068
"9,10-methanohexadecanoic","9,10?16",BAFA,BAFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9,10-methanooctadecanoic","9,10?18",BAFA,BAFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linolelaidic,C18:2n-6trans,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linoleic (LIN),C18:2n-6cis,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0.29,0.28,0.27,0.22,0.265,0.031091264,0.41,0.19,0.34,0.18,0.28,0.11343133,1.6,3.95,2.24,2.38,2.31,0.098994949,,%,2.5,2.78,2.6,2.76,2.66,0.133666251,2.24,2.29,2.16,2.2,2.2225,0.055602758,2.91,2.92,2.78,2.65,2.715,0.091923882
Gamma-Linolenic,C18:3n-6,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.66,1.29,0.61,0.63,0.62,0.014142136,,%,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0.95,0.76,0.7,0.73,0.042426407
Eicosadienoic,C20:2n-6,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.24,0.24,0.24,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.27,0.285,0.021213203
Dihomo-g-linolenic,C20:3n-6,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.26,0.14,0.15,0.145,0.007071068,,%,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.19,0.17,0.16,0.165,0.007071068
Arachidonic,C20:4n-6,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0.07,0.05,0.04,0.03,0.0475,0.017078251,0.02,0.01,0.01,0.01,0.0125,0.005,5.48,8.07,5.07,5.65,5.36,0.410121933,,%,0.6,0.47,0.41,0.4,0.47,0.092014492,0.1,0.09,0.08,0.1,0.0925,0.009574271,9.98,5.97,6.28,6.27,6.275,0.007071068
Docosadienoic,C22:2n-6,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Docosatetraenoic,C22:4n-6,PUFA,n-6 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0.42,0.44,0.43,0.014142136,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0.52,0.49,0.505,0.021213203
Alpha-Linolenic (ALA),C18:3n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0.14,0.15,0.14,0.11,0.135,0.017320508,0.37,0.18,0.26,0.2,0.2525,0.085391256,1.39,4.8,3.09,3.17,3.13,0.056568542,,%,1.22,1.47,1.38,1.33,1.35,0.104243305,2,2.17,1.67,2.42,2.065,0.314801525,2.52,3.55,3.83,3.52,3.675,0.219203102
Stearidonic,C18:4n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0,0,0,0.03,0.0075,0.015,0.18,0.07,0.08,0.07,0.1,0.053541261,1.06,2.54,2.01,1.99,2,0.014142136,,%,0,0,0,0.38,0.095,0.19,0.98,0.86,0.52,0.78,0.785,0.19485037,1.93,1.88,2.49,2.21,2.35,0.197989899
Eicosatrienoic,C20:3n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eicosatetraenoic,C20:4n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.35,0.24,0.27,0.255,0.021213203,,%,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.26,0.29,0.3,0.295,0.007071068
Eicosapentaenoic (EPA),C20:5n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0.23,0.16,0.18,0.16,0.1825,0.033040379,0.31,0.13,0.16,0.12,0.18,0.088317609,9.23,15.61,11.62,12.89,12.255,0.898025612,,%,1.99,1.56,1.8,1.95,1.825,0.194679223,1.7,1.59,1.01,1.41,1.4275,0.30291638,16.81,11.55,14.4,14.31,14.355,0.06363961
Docosatrienoic,C22:3n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupanodonic,C22:5n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.81,0.56,0.62,0.59,0.042426407,,%,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.7,0.68,0.69,0.014142136
Docosahexaenoic (DHA),C22:6n-3,PUFA,n-3 PUFA,ugFAME·mgDW-1,,,0.16,0.09,0.1,0.07,0.105,0.038729833,0.14,0.05,0.07,0.06,0.08,0.040824829,0.27,17.94,11.84,13.5,12.67,1.173797257,,%,1.42,0.88,1.01,0.89,1.05,0.253640165,0.79,0.6,0.46,0.71,0.64,0.143061758,0.49,13.27,14.67,14.99,14.83,0.22627417
Total,total_SAFA,SAFA,SAFA,ugFAME·mgDW-1,,,5.61,5.13,4.89,4.13,4.94,0.617413962,10.54,4.8,10.19,4.62,7.5375,3.268867031,13.35,34.01,22.16,25.17,23.665,2.128391411,,%,48.51,51.55,47.78,51.46,49.825,1.962999406,57.4,57.67,65.52,55.15,58.935,4.533023274,24.33,25.17,27.45,27.95,27.7,0.353553391
Total,total_terrFA,terrFA,terrFA,ugFAME·mgDW-1,,,0.7,0.6,0.65,0.51,0.615,0.081034972,1.55,0.71,0.95,0.68,0.9725,0.403515799,0.24,1.95,1.36,1.47,1.415,0.077781746,,%,6.01,6.03,6.33,6.36,6.1825,0.188215302,8.44,8.54,6.1,8.15,7.8075,1.150286196,0.44,1.44,1.68,1.64,1.66,0.028284271
Total,total_MUFA,MUFA,MUFA,ugFAME·mgDW-1,,,3.58,2.79,3.27,2.4,3.01,0.520576603,3.72,1.7,2.45,1.73,2.4,0.945832966,19.73,30.21,14.7,16.61,15.655,1.350573952,,%,30.95,27.98,31.95,29.89,30.1925,1.697966922,20.27,20.47,15.73,20.69,19.29,2.379523762,35.96,22.36,18.22,18.44,18.33,0.155563492
Total,total_BAFA,BAFA,BAFA,ugFAME·mgDW-1,,,5.31,4.79,4.53,3.24,4.4675,0.880241444,8.73,3.95,7.29,4.28,6.0625,2.328252206,15.56,45.55,24.86,27.88,26.37,2.135462479,,%,45.93,48.14,44.21,40.35,44.6575,3.291497886,47.55,47.49,46.86,51.02,48.23,1.88600106,28.35,33.71,30.8,30.96,30.88,0.113137085
Total,total_PUFA,PUFA,PUFA,ugFAME·mgDW-1,,,0.89,0.71,0.74,0.62,0.74,0.112249722,1.43,0.63,0.92,0.64,0.905,0.374922214,20.17,57.82,38.09,41.93,40.01,2.71529004,,%,7.72,7.17,7.19,7.72,7.45,0.311876044,7.81,7.6,5.9,7.61,7.23,0.891926753,36.75,42.79,47.2,46.56,46.88,0.45254834
Total,total_n-3,Omega-3,Omega-3,ugFAME·mgDW-1,,,0.53,0.39,0.43,0.37,0.43,0.071180522,1,0.43,0.57,0.45,0.6125,0.265628186,12.36,42.04,29.37,32.44,30.905,2.170817818,,%,4.62,3.91,4.19,4.55,4.3175,0.330592902,5.47,5.23,3.66,5.32,4.92,0.845813218,22.52,31.11,36.39,36.02,36.205,0.261629509
Total,total_n-6,Omega-6,Omega-6,ugFAME·mgDW-1,,,0.36,0.32,0.31,0.25,0.31,0.045460606,0.43,0.2,0.35,0.19,0.2925,0.117295922,7.81,15.79,8.72,9.49,9.105,0.544472222,,%,3.1,3.26,3,3.16,3.13,0.108934231,2.34,2.37,2.24,2.3,2.3125,0.056199051,14.23,11.68,10.81,10.54,10.675,0.190918831
Total,n-3:n-6,Omega ratio,Omega ratio,ugFAME·mgDW-1,,,1.49,1.2,1.39,1.44,1.38,0.126754356,2.33,2.2,1.64,2.32,2.1225,0.327044849,1.58,2.66,3.37,3.42,3.395,0.035355339,,%,1.49,1.2,1.39,1.44,1.38,0.126754356,2.33,2.2,1.64,2.32,2.1225,0.327044849,1.58,2.66,3.37,3.42,3.395,0.035355339
Total,DHA:EPA,Essential ratio,Essential ratio,ugFAME·mgDW-1,,,0.71,0.56,0.56,0.46,0.5725,0.103077641,0.46,0.38,0.45,0.51,0.45,0.053541261,0.03,1.15,1.02,1.05,1.035,0.021213203,,%,0.71,0.56,0.56,0.46,0.5725,0.103077641,0.46,0.38,0.45,0.51,0.45,0.053541261,0.03,1.15,1.02,1.05,1.035,0.021213203
Total,total_FAME,FAME,FAME,ugFAME·mgDW-1,,,,,,,,,,,,,,,,,,,,,,%,100,100,100,100,,,100,100,100,100,,,100,100,100,100,,
Total,total_lipids,Lipids,Lipids,mgLipids·gDW-1,,,,,,,,,,,,,,,,,,,,,,%,NA,NA,NA,NA,,,NA,NA,NA,NA,,,NA,NA,NA,NA,,
Total,Sample,Sample,Sample,mgDW,,,0.8,1.2,1,1.4,1.1,,0.8,0.9,0.8,1.1,0.9,,1.47,2.99,1.87,2.46,2.165,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,,NA,NA,NA,NA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
