Samples,FA_ID,FAME,value
RIVERw,C18:1n-9cis,BAFA,0.5325
RIVERw,C18:1n-9trans,BAFA,0
RIVERw,C16:1n-9,MUFA,0.3625
RIVERw,C18:1n-7,MUFA,0.4925
RIVERw,C17:1n-7,MUFA,0
RIVERw,C16:1n-7,MUFA,1.01
RIVERw,C18:1n-6,MUFA,0
RIVERw,C15:1n-5,MUFA,0
RIVERw,C14:1n-5,MUFA,0
RIVERw,iso-15:0,BAFA,0.13
RIVERw,anteiso-15:0,BAFA,0.1575
RIVERw,iso-16:0,BAFA,0
RIVERw,iso-17:0,BAFA,1.525
RIVERw,"9,10 16",BAFA,0
RIVERw,"9,10 18",BAFA,0
RIVERw,C18:2n-6trans,n-6 PUFA,0
RIVERw,C18:2n-6cis,n-6 PUFA,0.28
RIVERw,C18:3n-6,n-6 PUFA,0
RIVERw,C20:2n-6,n-6 PUFA,0
RIVERw,C20:3n-6,n-6 PUFA,0
RIVERw,C20:4n-6,n-6 PUFA,0.0125
RIVERw,C22:2n-6,n-6 PUFA,0
RIVERw,C22:4n-6,n-6 PUFA,0
RIVERw,C18:3n-3,n-3 PUFA,0.2525
RIVERw,C18:4n-3,n-3 PUFA,0.1
RIVERw,C20:3n-3,n-3 PUFA,0
RIVERw,C20:4n-3,n-3 PUFA,0
RIVERw,C20:5n-3,n-3 PUFA,0.18
RIVERw,C22:3n-3,n-3 PUFA,0
RIVERw,C22:5n-3,n-3 PUFA,0
RIVERw,C22:6n-3,n-3 PUFA,0.08
RIVERw,n-3:n-6,Omega ratio,2.1225
RIVERw,DHA:EPA,Essential ratio,0.45
DAPw,C20:0,terrFA,0.1
DAPw,C22:0,terrFA,0.08
DAPw,C23:0,terrFA,0
DAPw,C24:0,terrFA,0.06
DAPw,C17:0,SAFA,0.67
DAPw,C18:0,SAFA,3.21
DAPw,C21:0,SAFA,0.09
DAPw,C14:0,BAFA,0.94
DAPw,C15:0,BAFA,0.69
DAPw,C16:0,BAFA,7.5
DAPw,C18:1n-12,MUFA,0
DAPw,C24:1n-9,MUFA,0
DAPw,C22:1n-9,MUFA,0
DAPw,C20:1n-9,MUFA,0
DAPw,C18:1n-9cis,BAFA,4.59
DAPw,C18:1n-9trans,BAFA,0.2
DAPw,C16:1n-9,MUFA,0
DAPw,C18:1n-7,MUFA,6.82
DAPw,C17:1n-7,MUFA,0
DAPw,C16:1n-7,MUFA,8.12
DAPw,C18:1n-6,MUFA,0
DAPw,C15:1n-5,MUFA,0
DAPw,C14:1n-5,MUFA,0
DAPw,iso-15:0,BAFA,0.72
DAPw,anteiso-15:0,BAFA,0.48
DAPw,iso-16:0,BAFA,0.42
DAPw,iso-17:0,BAFA,0
DAPw,"9,10 16",BAFA,0
DAPw,"9,10 18",BAFA,0
DAPw,C18:2n-6trans,n-6 PUFA,0
DAPw,C18:2n-6cis,n-6 PUFA,1.6
DAPw,C18:3n-6,n-6 PUFA,0.66
DAPw,C20:2n-6,n-6 PUFA,0
DAPw,C20:3n-6,n-6 PUFA,0.08
DAPw,C20:4n-6,n-6 PUFA,5.48
DAPw,C22:2n-6,n-6 PUFA,0
DAPw,C22:4n-6,n-6 PUFA,0
DAPw,C18:3n-3,n-3 PUFA,1.39
DAPw,C18:4n-3,n-3 PUFA,1.06
DAPw,C20:3n-3,n-3 PUFA,0
DAPw,C20:4n-3,n-3 PUFA,0.31
DAPw,C20:5n-3,n-3 PUFA,9.23
DAPw,C22:3n-3,n-3 PUFA,0
DAPw,C22:5n-3,n-3 PUFA,0.11
DAPw,C22:6n-3,n-3 PUFA,0.27
